Symbol,Parameters,Sharpe Ratio,Max Drawdown,Win Rate,Total Trades,Profit Loss
AXON,period=8.0;stdDevMultiplier=2.5,0.8712,0.2277,0.4000,10,2.47
AXP,period=15.0;stdDevMultiplier=2.0,1.1641,0.1991,0.4043,47,3.37
AZO,period=30.0;stdDevMultiplier=2.25,1.3409,0.1308,0.4615,26,2.13
A,period=8.0;stdDevMultiplier=1.75,0.6634,0.1964,0.3494,83,1.07
BAC,period=28.0;stdDevMultiplier=3.0,0.6685,0.2902,0.3636,11,1.01
BALL,period=7.0;stdDevMultiplier=1.5,0.5361,0.2233,0.3276,116,0.94
BAX,period=29.0;stdDevMultiplier=4.25,0.3487,0.0484,0.5000,2,0.24
BA,period=24.0;stdDevMultiplier=3.0,0.3468,0.4452,0.4286,7,0.59
BBY,period=21.0;stdDevMultiplier=2.5,0.8798,0.2598,0.4211,19,1.97
BDX,period=6.0;stdDevMultiplier=1.75,0.6760,0.1246,0.3814,97,0.83
BEN,period=14.0;stdDevMultiplier=2.75,0.7075,0.2971,0.3125,16,1.41
BF.B,period=18.0;stdDevMultiplier=2.5,0.5622,0.2351,0.4500,20,0.78
BG,period=7.0;stdDevMultiplier=2.0,0.8039,0.1994,0.3333,51,1.33
BIIB,period=10.0;stdDevMultiplier=2.25,0.5577,0.2857,0.2632,38,1.70
BKNG,period=23.0;stdDevMultiplier=1.75,1.2960,0.2082,0.4118,51,4.22
BKR,period=5.0;stdDevMultiplier=1.25,0.7315,0.3427,0.3532,201,1.88
BK,period=8.0;stdDevMultiplier=2.0,0.9889,0.2861,0.4259,54,2.14
BLDR,period=21.0;stdDevMultiplier=2.0,1.2146,0.2288,0.4419,43,4.87
BLK,period=26.0;stdDevMultiplier=3.0,0.9135,0.1058,0.5000,6,0.74
BMY,period=8.0;stdDevMultiplier=2.25,0.9162,0.1128,0.3548,31,0.95
BRK.B,period=30.0;stdDevMultiplier=2.75,1.1012,0.0837,0.5000,14,0.91
BRO,period=9.0;stdDevMultiplier=2.0,1.2223,0.2337,0.3966,58,2.42
BR,period=20.0;stdDevMultiplier=2.5,1.1526,0.1167,0.4762,21,1.50
BSX,period=11.0;stdDevMultiplier=1.75,1.6074,0.1536,0.4521,73,3.11
BWA,period=6.0;stdDevMultiplier=1.25,1.0031,0.1779,0.3583,187,2.85
BXP,period=10.0;stdDevMultiplier=1.5,0.7181,0.3698,0.3874,111,1.80
BX,period=10.0;stdDevMultiplier=2.5,1.2002,0.2227,0.4667,15,2.46
CAG,period=8.0;stdDevMultiplier=1.25,0.5326,0.2839,0.3357,140,0.70
CAH,period=20.0;stdDevMultiplier=2.0,1.1723,0.1242,0.4211,38,1.66
CARR,period=9.0;stdDevMultiplier=1.0,1.0194,0.1826,0.3831,154,2.35
CAT,period=15.0;stdDevMultiplier=1.75,1.1802,0.2000,0.3729,59,2.78
CBOE,period=18.0;stdDevMultiplier=1.25,1.1087,0.2030,0.4079,76,1.86
CBRE,period=8.0;stdDevMultiplier=1.75,0.8877,0.3147,0.3855,83,2.00
CB,period=29.0;stdDevMultiplier=2.25,1.3231,0.1532,0.4333,30,1.94
CCI,period=22.0;stdDevMultiplier=2.75,0.3768,0.3569,0.3750,8,0.47
CCL,period=24.0;stdDevMultiplier=3.0,0.7965,0.3127,0.3333,9,2.69
CDNS,period=30.0;stdDevMultiplier=2.75,0.9309,0.2959,0.4667,15,2.85
CDW,period=8.0;stdDevMultiplier=1.0,0.8775,0.1932,0.3665,161,1.64
CEG,period=28.0;stdDevMultiplier=3.25,0.9552,0.2698,0.4545,11,2.00
CE,period=23.0;stdDevMultiplier=2.25,0.5079,0.3143,0.3448,29,0.91
CFG,period=7.0;stdDevMultiplier=1.5,0.7621,0.3794,0.3383,133,2.05
CF,period=9.0;stdDevMultiplier=1.25,1.1192,0.1999,0.3740,131,3.43
CHD,period=6.0;stdDevMultiplier=1.25,0.7990,0.2624,0.3901,182,0.98
CHRW,period=6.0;stdDevMultiplier=1.0,1.0207,0.1999,0.3821,246,2.20
CHTR,period=9.0;stdDevMultiplier=1.0,0.3126,0.4805,0.3562,146,0.48
CINF,period=22.0;stdDevMultiplier=2.5,0.5988,0.3025,0.4000,20,1.07
CI,period=14.0;stdDevMultiplier=2.25,0.9772,0.2513,0.4375,32,2.21
CLX,period=6.0;stdDevMultiplier=1.5,0.6629,0.2464,0.3942,137,1.02
CL,period=21.0;stdDevMultiplier=1.5,0.4123,0.1961,0.3462,52,0.44
CMCSA,period=11.0;stdDevMultiplier=1.25,0.6272,0.3796,0.3596,114,1.00
CME,period=28.0;stdDevMultiplier=3.0,0.9262,0.0949,0.5000,8,0.87
CMG,period=17.0;stdDevMultiplier=2.0,0.6816,0.2434,0.3556,45,1.30
CMI,period=5.0;stdDevMultiplier=1.0,1.0025,0.2232,0.3544,237,1.84
CMS,period=14.0;stdDevMultiplier=1.75,0.6846,0.2402,0.3636,66,0.82
CNC,period=22.0;stdDevMultiplier=1.75,0.6220,0.3016,0.3721,43,1.20
CNP,period=29.0;stdDevMultiplier=2.0,1.0222,0.1626,0.4333,30,1.25
COF,period=7.0;stdDevMultiplier=1.5,0.8965,0.2930,0.3566,129,2.69
COO,period=12.0;stdDevMultiplier=2.5,0.5487,0.2627,0.3529,17,0.71
COP,period=14.0;stdDevMultiplier=1.75,0.7992,0.2119,0.3390,59,1.82
COR,period=11.0;stdDevMultiplier=2.25,1.2487,0.1022,0.4286,28,1.61
COST,period=15.0;stdDevMultiplier=2.75,1.3605,0.1593,0.4444,9,1.76
CPAY,period=12.0;stdDevMultiplier=2.25,1.0033,0.1941,0.4412,34,2.37
CPB,period=9.0;stdDevMultiplier=1.5,0.5726,0.1828,0.3455,110,0.70
CPRT,period=14.0;stdDevMultiplier=3.0,0.8056,0.1139,0.5000,4,0.81
CPT,period=5.0;stdDevMultiplier=1.5,0.6297,0.3048,0.3484,155,0.92
CRL,period=16.0;stdDevMultiplier=1.5,0.5454,0.2923,0.3000,70,1.03
CRM,period=22.0;stdDevMultiplier=2.5,0.4351,0.5071,0.4000,20,0.76
CRWD,period=9.0;stdDevMultiplier=2.75,0.8600,0.1502,0.5000,2,1.47
CSCO,period=6.0;stdDevMultiplier=1.5,1.0077,0.0933,0.3488,129,1.30
CSGP,period=18.0;stdDevMultiplier=1.75,0.7944,0.2925,0.3548,62,1.90
CSX,period=5.0;stdDevMultiplier=1.0,0.6925,0.2381,0.3598,239,1.03
CTAS,period=17.0;stdDevMultiplier=1.0,1.2427,0.1873,0.4242,99,2.46
CTRA,period=8.0;stdDevMultiplier=1.75,1.1227,0.2620,0.3548,93,3.50
CTSH,period=6.0;stdDevMultiplier=1.25,0.8254,0.2036,0.3693,176,1.47
CTVA,period=15.0;stdDevMultiplier=2.0,1.4775,0.1938,0.3774,53,4.95
CVS,period=22.0;stdDevMultiplier=2.25,0.5748,0.3305,0.3529,34,0.90
CVX,period=30.0;stdDevMultiplier=2.75,1.2676,0.1206,0.4706,17,2.40
CZR,period=8.0;stdDevMultiplier=1.0,0.7999,0.4105,0.3558,163,4.20
C,period=22.0;stdDevMultiplier=3.25,0.7436,0.1063,0.5000,6,0.89
DAL,period=21.0;stdDevMultiplier=2.5,0.9020,0.2049,0.4118,17,1.67
DAY,period=11.0;stdDevMultiplier=1.0,0.6962,0.4158,0.3359,131,1.83
DD,period=6.0;stdDevMultiplier=1.0,0.7644,0.2373,0.3602,211,1.45
DECK,period=5.0;stdDevMultiplier=1.0,1.0814,0.3501,0.3843,255,4.24
DELL,period=10.0;stdDevMultiplier=2.0,1.0284,0.3173,0.3684,57,3.21
DE,period=8.0;stdDevMultiplier=1.75,1.3105,0.2140,0.3617,94,3.87
DFS,period=8.0;stdDevMultiplier=1.5,1.2326,0.1999,0.3840,125,5.17
DGX,period=30.0;stdDevMultiplier=2.0,0.7499,0.1555,0.3571,28,0.87
DG,period=10.0;stdDevMultiplier=1.25,0.1851,0.5077,0.3276,116,0.25
DHI,period=5.0;stdDevMultiplier=1.0,1.0614,0.2871,0.3686,236,3.31
DHR,period=7.0;stdDevMultiplier=1.0,0.6791,0.2270,0.3602,186,1.06
DIS,period=12.0;stdDevMultiplier=2.75,0.5936,0.1535,0.5000,8,0.60
DLR,period=28.0;stdDevMultiplier=3.5,0.6849,0.1500,0.5000,2,0.96
DLTR,period=7.0;stdDevMultiplier=1.75,0.1764,0.5336,0.3258,89,0.22
DOC,period=7.0;stdDevMultiplier=1.25,0.6318,0.4258,0.3467,150,1.17
DOV,period=10.0;stdDevMultiplier=2.25,0.9406,0.1751,0.3548,31,1.51
DOW,period=5.0;stdDevMultiplier=1.0,0.5666,0.3486,0.3691,233,0.98
DPZ,period=30.0;stdDevMultiplier=3.75,1.0503,0.1451,0.5000,6,1.26
DRI,period=8.0;stdDevMultiplier=1.5,1.4406,0.1963,0.3814,118,5.80
DTE,period=22.0;stdDevMultiplier=1.0,0.5249,0.2423,0.3625,80,0.66
DUK,period=29.0;stdDevMultiplier=2.0,0.8808,0.1787,0.4063,32,1.04
DVA,period=5.0;stdDevMultiplier=1.75,0.9522,0.3083,0.3617,94,2.46
DVN,period=20.0;stdDevMultiplier=1.75,0.8038,0.3992,0.2727,44,2.42
DXCM,period=30.0;stdDevMultiplier=3.25,0.8039,0.2391,0.4000,5,2.11
D,period=8.0;stdDevMultiplier=2.0,0.3653,0.3039,0.2821,39,0.45
EA,period=6.0;stdDevMultiplier=1.5,0.5645,0.2068,0.3478,138,0.77
EBAY,period=29.0;stdDevMultiplier=2.0,0.9946,0.2590,0.3784,37,2.20
ECL,period=5.0;stdDevMultiplier=1.75,0.9033,0.3394,0.4000,80,1.69
ED,period=27.0;stdDevMultiplier=2.5,0.8793,0.1470,0.4286,14,1.03
EFX,period=23.0;stdDevMultiplier=3.0,0.7879,0.2098,0.5000,4,1.18
EG,period=30.0;stdDevMultiplier=1.25,1.2323,0.1147,0.4310,58,2.52
EIX,period=25.0;stdDevMultiplier=2.5,0.1507,0.2797,0.3684,19,0.21
ELV,period=9.0;stdDevMultiplier=1.75,1.1253,0.1326,0.3875,80,2.06
EL,period=5.0;stdDevMultiplier=1.75,0.1510,0.5285,0.3409,88,0.17
EMN,period=16.0;stdDevMultiplier=2.0,0.7699,0.2536,0.3333,45,1.42
EMR,period=15.0;stdDevMultiplier=1.5,0.9800,0.2333,0.3704,81,1.82
ENPH,period=8.0;stdDevMultiplier=2.25,0.8656,0.4280,0.2800,25,4.23
EOG,period=29.0;stdDevMultiplier=2.0,0.7771,0.3612,0.3429,35,1.84
EPAM,period=13.0;stdDevMultiplier=2.5,0.9040,0.2870,0.3810,21,2.94
EQIX,period=30.0;stdDevMultiplier=2.25,0.7503,0.2100,0.3913,23,1.21
EQR,period=14.0;stdDevMultiplier=1.75,0.6696,0.2377,0.3710,62,1.08
EQT,period=9.0;stdDevMultiplier=1.25,1.2798,0.2978,0.3852,135,7.52
ERIE,period=15.0;stdDevMultiplier=3.5,0.7929,0.1236,0.5000,2,0.84
ESS,period=7.0;stdDevMultiplier=2.0,0.7574,0.3191,0.3462,52,1.31
ES,period=13.0;stdDevMultiplier=2.25,0.0541,0.2715,0.2424,33,0.11
ETN,period=6.0;stdDevMultiplier=1.0,1.1606,0.1406,0.3944,213,2.57
ETR,period=30.0;stdDevMultiplier=2.0,0.7801,0.1537,0.4000,30,1.08
EVRG,period=11.0;stdDevMultiplier=2.25,0.6774,0.2259,0.3333,33,0.86
EW,period=11.0;stdDevMultiplier=2.25,0.8444,0.2122,0.3529,34,1.47
EXC,period=18.0;stdDevMultiplier=2.25,1.1984,0.1117,0.4474,38,1.69
EXPD,period=24.0;stdDevMultiplier=2.25,0.8808,0.1436,0.4286,28,1.05
EXPE,period=8.0;stdDevMultiplier=1.75,0.9521,0.5181,0.4235,85,4.00
EXR,period=18.0;stdDevMultiplier=2.0,0.5287,0.2479,0.3421,38,0.81
FANG,period=26.0;stdDevMultiplier=3.0,1.0785,0.3185,0.5000,6,5.27
FAST,period=26.0;stdDevMultiplier=2.75,0.8693,0.1187,0.4286,14,1.04
FCX,period=5.0;stdDevMultiplier=1.75,0.7213,0.3785,0.3333,93,2.19
FDS,period=12.0;stdDevMultiplier=2.25,0.6152,0.1665,0.3871,31,0.91
FDX,period=8.0;stdDevMultiplier=1.25,0.8789,0.3188,0.3537,147,1.92
FE,period=26.0;stdDevMultiplier=3.5,0.5647,0.2046,0.5000,4,0.59
FFIV,period=11.0;stdDevMultiplier=2.75,0.6789,0.2454,0.3846,13,1.20
FICO,period=30.0;stdDevMultiplier=2.75,1.2952,0.1893,0.5000,10,3.90
FIS,period=26.0;stdDevMultiplier=2.25,0.5035,0.3144,0.3793,29,0.86
FITB,period=6.0;stdDevMultiplier=1.0,0.8678,0.3378,0.3721,215,2.51
FI,period=8.0;stdDevMultiplier=1.25,1.2031,0.1173,0.3793,145,2.48
FMC,period=8.0;stdDevMultiplier=1.0,0.2474,0.4771,0.3452,168,0.34
FOXA,period=13.0;stdDevMultiplier=1.0,0.9897,0.1767,0.3805,113,1.98
FOX,period=7.0;stdDevMultiplier=1.0,1.0618,0.1822,0.3704,189,2.28
FRT,period=10.0;stdDevMultiplier=1.5,0.7822,0.2730,0.3737,99,1.89
FSLR,period=25.0;stdDevMultiplier=2.75,1.3503,0.1929,0.4615,13,8.70
FTNT,period=6.0;stdDevMultiplier=1.5,0.9908,0.2806,0.3910,133,3.84
FTV,period=10.0;stdDevMultiplier=1.0,0.6750,0.2023,0.3310,145,1.02
F,period=28.0;stdDevMultiplier=2.75,0.8297,0.2448,0.4615,13,1.36
GDDY,period=30.0;stdDevMultiplier=1.75,1.1524,0.2047,0.3902,41,2.72
GD,period=8.0;stdDevMultiplier=1.5,1.1479,0.1417,0.3790,124,1.77
GEHC,period=5.0;stdDevMultiplier=1.75,0.9107,0.2007,0.3587,92,0.93
GEN,period=15.0;stdDevMultiplier=2.25,0.9295,0.2825,0.4048,42,2.00
GEV,period=10.0;stdDevMultiplier=1.0,1.5072,0.1567,0.4054,37,0.83
GE,period=23.0;stdDevMultiplier=1.0,1.1930,0.3545,0.4203,69,3.49
GILD,period=6.0;stdDevMultiplier=2.0,0.5597,0.1955,0.3500,40,0.71
GIS,period=8.0;stdDevMultiplier=1.0,0.6636,0.2532,0.3438,160,0.78
GLW,period=7.0;stdDevMultiplier=1.75,0.7461,0.3228,0.3548,93,1.38
GL,period=10.0;stdDevMultiplier=2.75,1.1236,0.1681,0.4000,5,2.63
GM,period=11.0;stdDevMultiplier=2.5,0.9136,0.3420,0.4375,16,2.25
GNRC,period=6.0;stdDevMultiplier=1.25,0.4607,0.5726,0.3529,170,1.04
GOOGL,period=6.0;stdDevMultiplier=1.75,0.9626,0.2856,0.4023,87,2.29
GOOG,period=8.0;stdDevMultiplier=2.0,0.9354,0.3318,0.4286,49,2.04
GPC,period=28.0;stdDevMultiplier=2.25,1.0038,0.1954,0.4615,26,1.76
GPN,period=11.0;stdDevMultiplier=2.0,0.3186,0.3562,0.3396,53,0.50
GRMN,period=8.0;stdDevMultiplier=1.0,1.0439,0.1407,0.3576,165,2.20
GS,period=21.0;stdDevMultiplier=2.25,0.9929,0.2006,0.3939,33,1.72
GWW,period=5.0;stdDevMultiplier=1.75,1.1187,0.1937,0.3636,99,1.91
HAL,period=30.0;stdDevMultiplier=2.0,0.8175,0.2573,0.3226,31,2.46
HAS,period=5.0;stdDevMultiplier=1.5,0.7707,0.3028,0.3757,181,1.70
HBAN,period=19.0;stdDevMultiplier=1.25,0.6259,0.4166,0.3478,69,1.30
HCA,period=7.0;stdDevMultiplier=1.75,1.0490,0.2493,0.3678,87,2.23
HD,period=11.0;stdDevMultiplier=2.0,0.8974,0.2568,0.3878,49,1.31
HES,period=7.0;stdDevMultiplier=1.5,0.9421,0.2416,0.3280,125,3.17
HIG,period=6.0;stdDevMultiplier=1.5,1.2913,0.1758,0.3906,128,3.04
HII,period=24.0;stdDevMultiplier=2.5,0.8004,0.1439,0.4000,15,0.95
HLT,period=15.0;stdDevMultiplier=2.25,1.5347,0.1310,0.4615,39,3.88
HOLX,period=10.0;stdDevMultiplier=2.0,0.6905,0.1219,0.3455,55,0.98
HON,period=9.0;stdDevMultiplier=1.75,0.9103,0.2197,0.3258,89,1.28
HPE,period=18.0;stdDevMultiplier=2.75,0.9293,0.2413,0.4000,15,2.16
HPQ,period=5.0;stdDevMultiplier=1.25,1.1149,0.2026,0.3591,220,3.06
HRL,period=10.0;stdDevMultiplier=2.25,0.4656,0.1741,0.3415,41,0.61
HSIC,period=8.0;stdDevMultiplier=1.0,0.9220,0.1595,0.3563,174,1.75
HST,period=10.0;stdDevMultiplier=1.5,1.0512,0.3573,0.4057,106,4.00
HSY,period=11.0;stdDevMultiplier=2.25,0.9383,0.2474,0.3514,37,1.40
HUBB,period=7.0;stdDevMultiplier=1.0,1.1179,0.1935,0.3687,179,2.44
HUM,period=23.0;stdDevMultiplier=1.75,0.6644,0.5047,0.3878,49,1.26
HWM,period=23.0;stdDevMultiplier=1.5,1.5557,0.1645,0.4286,49,5.63
IBM,period=26.0;stdDevMultiplier=2.75,1.1206,0.1812,0.4286,14,1.91
ICE,period=29.0;stdDevMultiplier=2.75,1.0820,0.0945,0.4667,15,1.15
IDXX,period=21.0;stdDevMultiplier=3.25,0.7767,0.0928,0.5000,6,0.69
IEX,period=5.0;stdDevMultiplier=1.25,0.8382,0.1406,0.3602,211,1.25
IFF,period=25.0;stdDevMultiplier=3.75,0.3052,0.1459,0.2000,5,0.35
INCY,period=7.0;stdDevMultiplier=1.0,0.4505,0.2841,0.3314,175,0.71
INTC,period=22.0;stdDevMultiplier=2.75,1.0092,0.2071,0.4545,22,2.56
INTU,period=17.0;stdDevMultiplier=2.5,1.3506,0.0910,0.5000,14,1.34
INVH,period=26.0;stdDevMultiplier=2.5,1.2161,0.1332,0.5000,24,2.28
IPG,period=8.0;stdDevMultiplier=1.25,1.0388,0.2849,0.3611,144,2.72
IP,period=6.0;stdDevMultiplier=2.0,0.7167,0.2410,0.3077,39,1.17
IQV,period=14.0;stdDevMultiplier=2.75,0.8281,0.1703,0.4444,9,1.02
IRM,period=7.0;stdDevMultiplier=2.0,1.2179,0.2363,0.3692,65,3.73
IR,period=6.0;stdDevMultiplier=1.25,1.0626,0.2311,0.3669,169,2.53
ISRG,period=12.0;stdDevMultiplier=2.5,0.6065,0.2825,0.4444,18,1.07
ITW,period=11.0;stdDevMultiplier=1.75,0.9034,0.1172,0.3816,76,1.21
IT,period=20.0;stdDevMultiplier=2.25,1.0018,0.1656,0.4138,29,1.86
IVZ,period=8.0;stdDevMultiplier=2.25,0.9161,0.3133,0.3103,29,3.51
JBHT,period=5.0;stdDevMultiplier=1.0,1.0573,0.2644,0.3719,242,2.29
JBL,period=27.0;stdDevMultiplier=2.25,1.2656,0.1990,0.4839,31,4.05
JCI,period=6.0;stdDevMultiplier=1.0,0.8888,0.3741,0.3682,201,1.75
JKHY,period=5.0;stdDevMultiplier=1.0,0.5919,0.1753,0.3417,240,0.86
JNJ,period=30.0;stdDevMultiplier=2.5,0.6313,0.2125,0.4000,20,0.64
JNPR,period=5.0;stdDevMultiplier=1.75,0.6714,0.1798,0.3488,86,0.90
JPM,period=26.0;stdDevMultiplier=2.25,1.1568,0.1773,0.4444,27,2.09
J,period=28.0;stdDevMultiplier=2.25,1.3062,0.1757,0.5000,28,2.38
KDP,period=8.0;stdDevMultiplier=1.0,0.7254,0.1274,0.3486,175,0.84
KEYS,period=29.0;stdDevMultiplier=2.0,0.7443,0.3409,0.3714,35,1.29
KEY,period=7.0;stdDevMultiplier=1.0,0.6773,0.4592,0.3459,185,1.93
KHC,period=25.0;stdDevMultiplier=3.0,0.4397,0.2045,0.3846,13,0.58
KIM,period=10.0;stdDevMultiplier=1.0,0.9811,0.2423,0.3706,143,3.08
KKR,period=29.0;stdDevMultiplier=3.0,1.4666,0.1395,0.5000,6,3.31
KLAC,period=7.0;stdDevMultiplier=1.5,1.4747,0.1857,0.4015,137,9.40
KMB,period=21.0;stdDevMultiplier=2.5,0.5468,0.2023,0.3200,25,0.64
KMI,period=14.0;stdDevMultiplier=2.25,0.7960,0.1895,0.3438,32,1.30
KMX,period=5.0;stdDevMultiplier=1.75,0.8923,0.2146,0.3486,109,2.34
KO,period=6.0;stdDevMultiplier=2.0,1.3075,0.1376,0.4423,52,1.44
KR,period=5.0;stdDevMultiplier=1.25,1.0749,0.1878,0.3750,208,1.97
KVUE,period=6.0;stdDevMultiplier=1.25,0.4361,0.1862,0.3269,104,0.30
K,period=7.0;stdDevMultiplier=1.75,0.8647,0.1582,0.3542,96,1.07
LDOS,period=23.0;stdDevMultiplier=4.0,1.1832,0.0953,0.5000,2,1.31
LEN,period=11.0;stdDevMultiplier=1.5,0.9920,0.2415,0.3936,94,2.73
LHX,period=29.0;stdDevMultiplier=3.25,0.7233,0.2038,0.5000,6,0.97
LH,period=8.0;stdDevMultiplier=2.0,0.7872,0.1004,0.3333,45,0.96
LII,period=6.0;stdDevMultiplier=1.5,1.1845,0.1932,0.3562,146,2.93
LIN,period=10.0;stdDevMultiplier=2.5,0.8973,0.1512,0.4211,19,0.89
LKQ,period=14.0;stdDevMultiplier=1.75,0.8039,0.2490,0.3594,64,1.41
LLY,period=12.0;stdDevMultiplier=1.75,0.9983,0.1952,0.4000,60,2.20
LMT,period=10.0;stdDevMultiplier=2.0,0.6663,0.1594,0.3750,56,0.85
LNT,period=22.0;stdDevMultiplier=1.5,0.7230,0.2235,0.3710,62,0.91
LOW,period=10.0;stdDevMultiplier=1.0,0.9688,0.1891,0.3673,147,1.81
LRCX,period=14.0;stdDevMultiplier=2.25,0.9324,0.2513,0.4286,35,3.14
LULU,period=30.0;stdDevMultiplier=3.0,0.4265,0.5126,0.4000,10,0.86
LUV,period=15.0;stdDevMultiplier=2.5,0.5499,0.4528,0.3750,16,1.30
LVS,period=8.0;stdDevMultiplier=1.25,0.5213,0.4288,0.3380,142,1.22
LW,period=6.0;stdDevMultiplier=1.0,0.6080,0.2644,0.3682,220,1.23
LYB,period=11.0;stdDevMultiplier=1.5,0.8294,0.2343,0.3736,91,1.72
LYV,period=29.0;stdDevMultiplier=1.75,0.8668,0.4598,0.3846,39,2.43
L,period=5.0;stdDevMultiplier=1.5,1.4126,0.1182,0.3902,164,3.26
MAA,period=14.0;stdDevMultiplier=2.0,0.6913,0.2372,0.3696,46,0.90
MAR,period=13.0;stdDevMultiplier=1.5,1.3745,0.1786,0.4045,89,4.57
MAS,period=10.0;stdDevMultiplier=1.75,0.7237,0.3622,0.3506,77,1.25
MA,period=8.0;stdDevMultiplier=1.25,1.1727,0.1570,0.3741,147,2.42
MCD,period=11.0;stdDevMultiplier=1.75,0.8511,0.1489,0.3846,78,0.92
MCHP,period=14.0;stdDevMultiplier=2.25,0.6257,0.3596,0.3684,38,1.44
MCK,period=6.0;stdDevMultiplier=1.0,1.7233,0.0893,0.3964,222,3.78
MCO,period=6.0;stdDevMultiplier=1.0,0.8791,0.2636,0.3732,209,1.43
MDLZ,period=12.0;stdDevMultiplier=2.25,0.4807,0.3143,0.3235,34,0.55
MDT,period=8.0;stdDevMultiplier=1.5,0.5499,0.1913,0.3421,114,0.74
META,period=27.0;stdDevMultiplier=4.25,1.2601,0.1297,0.5000,2,3.85
MET,period=14.0;stdDevMultiplier=2.0,1.0811,0.2741,0.4231,52,2.45
MGM,period=29.0;stdDevMultiplier=1.5,0.9820,0.3128,0.4255,47,3.11
