Symbol,Parameters,Sharpe Ratio,Max Drawdown,Win Rate,Total Trades,Profit Loss
CAG,overboughtThreshold=70.0;oversoldThreshold=35.0;period=5.0,0.3641,0.2016,0.3571,196,0.46
CAH,overboughtThreshold=75.0;oversoldThreshold=35.0;period=7.0,1.0424,0.1653,0.3729,118,1.99
CARR,overboughtThreshold=80.0;oversoldThreshold=35.0;period=5.0,0.8433,0.3279,0.3354,161,1.98
CAT,overboughtThreshold=80.0;oversoldThreshold=35.0;period=13.0,1.1503,0.2000,0.4364,55,3.19
CBOE,overboughtThreshold=70.0;oversoldThreshold=25.0;period=7.0,1.0500,0.1395,0.3796,108,1.50
CBRE,overboughtThreshold=75.0;oversoldThreshold=35.0;period=19.0,0.9513,0.3937,0.3793,29,2.71
CB,overboughtThreshold=80.0;oversoldThreshold=30.0;period=11.0,1.3772,0.1532,0.4407,59,3.26
CCI,overboughtThreshold=80.0;oversoldThreshold=15.0;period=13.0,0.3990,0.3493,0.3333,27,0.55
CCL,overboughtThreshold=85.0;oversoldThreshold=20.0;period=23.0,0.8893,0.3212,0.5000,8,2.15
CDNS,overboughtThreshold=65.0;oversoldThreshold=35.0;period=9.0,1.1861,0.2079,0.3663,101,3.53
CDW,overboughtThreshold=65.0;oversoldThreshold=35.0;period=5.0,1.0562,0.1803,0.3548,217,2.14
CEG,overboughtThreshold=85.0;oversoldThreshold=30.0;period=19.0,0.7744,0.2312,0.4286,21,1.39
CE,overboughtThreshold=65.0;oversoldThreshold=15.0;period=13.0,0.3067,0.2975,0.3462,26,0.39
CFG,overboughtThreshold=85.0;oversoldThreshold=35.0;period=5.0,1.0605,0.2971,0.3478,161,5.11
CF,overboughtThreshold=75.0;oversoldThreshold=35.0;period=15.0,0.9735,0.3987,0.3191,47,3.62
CHD,overboughtThreshold=65.0;oversoldThreshold=30.0;period=5.0,0.9430,0.1919,0.3622,196,1.14
