Symbol,Parameters,Sharpe Ratio,Max Drawdown,Win Rate,Total Trades,Profit Loss
WDC,overboughtThreshold=65.0;oversoldThreshold=20.0;period=19.0,1.0760,0.2122,0.4615,26,2.46
WEC,overboughtThreshold=80.0;oversoldThreshold=15.0;period=11.0,1.0966,0.1456,0.4167,48,1.31
WELL,overboughtThreshold=65.0;oversoldThreshold=25.0;period=7.0,1.0945,0.3114,0.3627,102,2.91
WFC,overboughtThreshold=85.0;oversoldThreshold=30.0;period=21.0,0.8406,0.3703,0.3333,15,2.92
WMB,overboughtThreshold=75.0;oversoldThreshold=30.0;period=19.0,1.1718,0.1529,0.4615,26,1.41
WMT,overboughtThreshold=85.0;oversoldThreshold=15.0;period=7.0,1.0576,0.0983,0.3913,69,1.25
WM,overboughtThreshold=80.0;oversoldThreshold=35.0;period=23.0,1.0356,0.1235,0.4211,19,1.42
WRB,overboughtThreshold=80.0;oversoldThreshold=15.0;period=5.0,1.2818,0.1230,0.4000,130,2.30
WST,overboughtThreshold=75.0;oversoldThreshold=15.0;period=19.0,0.5894,0.1264,0.4545,11,0.60
WTW,overboughtThreshold=80.0;oversoldThreshold=35.0;period=11.0,0.9528,0.2332,0.3871,62,1.90
WYNN,overboughtThreshold=65.0;oversoldThreshold=25.0;period=15.0,0.9008,0.2598,0.4130,46,2.69
WY,overboughtThreshold=80.0;oversoldThreshold=35.0;period=7.0,0.9346,0.3024,0.3458,107,2.58
XEL,overboughtThreshold=85.0;oversoldThreshold=15.0;period=15.0,0.7826,0.2099,0.4000,20,1.03
XOM,overboughtThreshold=80.0;oversoldThreshold=35.0;period=11.0,1.2021,0.3240,0.3818,55,3.93
XYL,overboughtThreshold=70.0;oversoldThreshold=25.0;period=15.0,0.6570,0.3366,0.3824,34,0.91
YUM,overboughtThreshold=75.0;oversoldThreshold=35.0;period=15.0,1.0109,0.1700,0.4091,44,1.56
ZBH,overboughtThreshold=75.0;oversoldThreshold=15.0;period=9.0,0.6457,0.1871,0.3654,52,0.80
ZBRA,overboughtThreshold=70.0;oversoldThreshold=25.0;period=5.0,0.5020,0.4518,0.3234,167,0.92
ZTS,overboughtThreshold=70.0;oversoldThreshold=35.0;period=7.0,0.5509,0.2946,0.3359,128,0.83
