Symbol,Parameters,Sharpe Ratio,Max Drawdown,Win Rate,Total Trades,Profit Loss
BKR,fastPeriod=6.0;slowPeriod=23.0,0.8282,0.2003,0.2368,76,2.17
BK,fastPeriod=17.0;slowPeriod=30.0,0.8801,0.1460,0.3111,45,1.51
BLDR,fastPeriod=9.0;slowPeriod=44.0,0.9382,0.5404,0.2813,32,3.79
BLK,fastPeriod=5.0;slowPeriod=21.0,0.8625,0.2145,0.2500,84,1.44
BMY,fastPeriod=6.0;slowPeriod=40.0,0.1996,0.2456,0.1633,49,0.26
BRK.B,fastPeriod=6.0;slowPeriod=20.0,0.9975,0.1168,0.2706,85,1.24
BRO,fastPeriod=9.0;slowPeriod=20.0,0.9452,0.1728,0.2800,75,1.49
BR,fastPeriod=20.0;slowPeriod=21.0,0.5793,0.1827,0.2905,148,0.75
BSX,fastPeriod=13.0;slowPeriod=49.0,0.8041,0.1821,0.2400,25,1.16
BWA,fastPeriod=20.0;slowPeriod=22.0,0.1173,0.2952,0.2740,146,0.14
BXP,fastPeriod=13.0;slowPeriod=36.0,0.5279,0.2268,0.2500,40,0.84
BX,fastPeriod=19.0;slowPeriod=38.0,0.6923,0.5135,0.2500,36,1.57
CAG,fastPeriod=11.0;slowPeriod=21.0,0.2243,0.1954,0.2254,71,0.29
CAH,fastPeriod=14.0;slowPeriod=20.0,0.5942,0.2436,0.2584,89,0.94
CARR,fastPeriod=20.0;slowPeriod=21.0,0.8534,0.2493,0.2981,161,1.80
CAT,fastPeriod=20.0;slowPeriod=23.0,0.5619,0.3660,0.2885,104,1.00
CBOE,fastPeriod=18.0;slowPeriod=43.0,0.6164,0.1492,0.2222,45,0.88
CBRE,fastPeriod=16.0;slowPeriod=33.0,0.8665,0.2221,0.2750,40,1.97
CB,fastPeriod=20.0;slowPeriod=23.0,0.5513,0.1461,0.2562,121,0.78
CCI,fastPeriod=5.0;slowPeriod=21.0,0.1298,0.2010,0.1728,81,0.19
CCL,fastPeriod=11.0;slowPeriod=26.0,0.9246,0.5513,0.2500,48,4.28
CDNS,fastPeriod=19.0;slowPeriod=20.0,0.8691,0.2079,0.2907,172,2.12
CDW,fastPeriod=20.0;slowPeriod=31.0,0.3720,0.2902,0.2903,62,0.50
CEG,fastPeriod=9.0;slowPeriod=48.0,0.8673,0.2394,0.2500,32,2.25
CE,fastPeriod=8.0;slowPeriod=39.0,0.2737,0.2905,0.2619,42,0.39
CFG,fastPeriod=17.0;slowPeriod=35.0,0.5768,0.2665,0.2400,50,1.23
CF,fastPeriod=5.0;slowPeriod=20.0,0.7945,0.3087,0.2283,92,2.18
CHD,fastPeriod=11.0;slowPeriod=21.0,0.7550,0.1401,0.2785,79,0.89
CHRW,fastPeriod=20.0;slowPeriod=23.0,0.5377,0.2003,0.2645,121,0.84
CHTR,fastPeriod=15.0;slowPeriod=20.0,0.2482,0.3365,0.2000,95,0.36
CINF,fastPeriod=7.0;slowPeriod=20.0,0.5418,0.2423,0.2235,85,0.90
CI,fastPeriod=15.0;slowPeriod=50.0,0.4398,0.2362,0.3226,31,0.63
CLX,fastPeriod=14.0;slowPeriod=22.0,-0.0333,0.3484,0.2192,73,0.02
CL,fastPeriod=16.0;slowPeriod=20.0,0.6284,0.1604,0.3412,85,0.63
CMCSA,fastPeriod=15.0;slowPeriod=20.0,0.1759,0.3083,0.2421,95,0.24
CME,fastPeriod=20.0;slowPeriod=21.0,0.5606,0.2464,0.3027,185,0.68
CMG,fastPeriod=10.0;slowPeriod=23.0,0.0743,0.9808,0.2571,70,-0.93
CMI,fastPeriod=19.0;slowPeriod=21.0,0.7592,0.1698,0.2721,136,1.30
CMS,fastPeriod=15.0;slowPeriod=28.0,0.3539,0.2214,0.2698,63,0.41
CNC,fastPeriod=13.0;slowPeriod=45.0,-0.0546,0.2947,0.1944,36,-0.03
CNP,fastPeriod=20.0;slowPeriod=21.0,0.6221,0.1848,0.2722,169,0.87
COF,fastPeriod=19.0;slowPeriod=29.0,0.7719,0.3521,0.2500,56,2.00
COO,fastPeriod=13.0;slowPeriod=22.0,0.3453,0.2302,0.2568,74,0.49
COP,fastPeriod=9.0;slowPeriod=22.0,0.4510,0.2645,0.2368,76,0.79
COR,fastPeriod=20.0;slowPeriod=22.0,0.7535,0.1772,0.3065,124,1.05
COST,fastPeriod=5.0;slowPeriod=39.0,1.2756,0.1235,0.3778,45,2.32
CPAY,fastPeriod=20.0;slowPeriod=28.0,0.1965,0.3961,0.2286,70,0.27
CPB,fastPeriod=17.0;slowPeriod=46.0,0.0063,0.1626,0.2121,33,0.08
CPRT,fastPeriod=20.0;slowPeriod=21.0,0.5052,0.3398,0.2808,146,0.72
CPT,fastPeriod=20.0;slowPeriod=27.0,0.6653,0.2424,0.2836,67,0.90
CRL,fastPeriod=16.0;slowPeriod=31.0,0.4607,0.3061,0.2857,49,0.81
CRM,fastPeriod=13.0;slowPeriod=20.0,0.4604,0.2862,0.2907,86,0.90
CRWD,fastPeriod=19.0;slowPeriod=28.0,0.8619,0.2676,0.2593,54,3.56
CSCO,fastPeriod=13.0;slowPeriod=50.0,0.4956,0.2542,0.1724,29,0.57
CSGP,fastPeriod=20.0;slowPeriod=21.0,-0.3790,0.9412,0.2321,168,-0.91
CSX,fastPeriod=20.0;slowPeriod=21.0,0.4340,0.1694,0.2697,178,0.58
CTAS,fastPeriod=20.0;slowPeriod=30.0,0.0170,0.7515,0.3333,69,-0.42
CTRA,fastPeriod=20.0;slowPeriod=23.0,0.0120,0.3977,0.2333,120,-0.03
CTSH,fastPeriod=20.0;slowPeriod=22.0,0.6481,0.1694,0.2868,129,0.90
CTVA,fastPeriod=20.0;slowPeriod=37.0,0.2421,0.3926,0.2273,44,0.34
CVS,fastPeriod=20.0;slowPeriod=43.0,0.1327,0.4383,0.1628,43,0.18
CVX,fastPeriod=12.0;slowPeriod=20.0,0.1973,0.2143,0.2100,100,0.27
CZR,fastPeriod=9.0;slowPeriod=29.0,0.3170,0.3797,0.2308,52,0.53
C,fastPeriod=5.0;slowPeriod=21.0,0.6637,0.3268,0.2500,88,1.24
DAL,fastPeriod=19.0;slowPeriod=36.0,0.7343,0.3750,0.3000,40,1.85
DAY,fastPeriod=18.0;slowPeriod=20.0,0.8007,0.2483,0.3099,142,2.13
DD,fastPeriod=10.0;slowPeriod=27.0,0.4885,0.3004,0.2881,59,0.74
DECK,fastPeriod=9.0;slowPeriod=27.0,0.8408,0.2460,0.2857,56,2.39
DELL,fastPeriod=20.0;slowPeriod=41.0,0.3130,0.7112,0.2333,30,0.41
DE,fastPeriod=20.0;slowPeriod=22.0,0.8509,0.2450,0.2481,133,1.80
DFS,fastPeriod=19.0;slowPeriod=27.0,0.9284,0.3242,0.3500,60,3.18
DGX,fastPeriod=13.0;slowPeriod=22.0,0.7352,0.2015,0.2609,69,1.04
DG,fastPeriod=16.0;slowPeriod=33.0,0.2419,0.2112,0.2564,39,0.32
DHI,fastPeriod=18.0;slowPeriod=41.0,0.7181,0.2591,0.3571,28,1.35
DHR,fastPeriod=6.0;slowPeriod=24.0,0.4815,0.2777,0.2278,79,0.68
DIS,fastPeriod=20.0;slowPeriod=22.0,0.4836,0.3909,0.2787,122,0.82
DLR,fastPeriod=18.0;slowPeriod=27.0,0.6010,0.1857,0.2778,54,0.97
DLTR,fastPeriod=18.0;slowPeriod=26.0,0.6441,0.2123,0.3226,62,1.30
DOC,fastPeriod=8.0;slowPeriod=21.0,0.4316,0.2486,0.2208,77,0.60
DOV,fastPeriod=5.0;slowPeriod=23.0,0.5852,0.1692,0.2375,80,0.84
DOW,fastPeriod=17.0;slowPeriod=21.0,0.1577,0.3207,0.2642,106,0.21
DPZ,fastPeriod=5.0;slowPeriod=35.0,0.7506,0.1855,0.1837,49,1.28
DRI,fastPeriod=20.0;slowPeriod=50.0,0.6416,0.2109,0.2424,33,1.24
DTE,fastPeriod=19.0;slowPeriod=20.0,0.1769,0.2177,0.2718,195,0.24
DUK,fastPeriod=5.0;slowPeriod=20.0,0.2175,0.1119,0.2529,87,0.26
DVA,fastPeriod=5.0;slowPeriod=22.0,0.3210,0.3458,0.2273,88,0.49
DVN,fastPeriod=11.0;slowPeriod=28.0,0.6558,0.3633,0.2000,55,1.85
DXCM,fastPeriod=20.0;slowPeriod=24.0,0.6349,0.2883,0.3404,94,1.50
D,fastPeriod=16.0;slowPeriod=38.0,-0.0802,0.2083,0.2439,41,0.01
EA,fastPeriod=17.0;slowPeriod=20.0,0.4563,0.2906,0.2566,113,0.61
EBAY,fastPeriod=19.0;slowPeriod=21.0,0.5114,0.3058,0.2517,143,0.87
ECL,fastPeriod=19.0;slowPeriod=27.0,0.2398,0.1705,0.2609,69,0.31
ED,fastPeriod=11.0;slowPeriod=36.0,0.2483,0.2188,0.2128,47,0.30
EFX,fastPeriod=5.0;slowPeriod=20.0,0.6260,0.2082,0.1807,83,1.15
EG,fastPeriod=7.0;slowPeriod=23.0,0.1355,0.2531,0.2235,85,0.19
EIX,fastPeriod=19.0;slowPeriod=20.0,0.4172,0.2065,0.2807,171,0.55
ELV,fastPeriod=20.0;slowPeriod=21.0,0.1617,0.2790,0.2422,161,0.22
EL,fastPeriod=16.0;slowPeriod=46.0,0.1704,0.3284,0.2500,24,0.23
EMN,fastPeriod=20.0;slowPeriod=21.0,0.4337,0.2046,0.3056,180,0.68
EMR,fastPeriod=12.0;slowPeriod=50.0,0.3095,0.2346,0.1875,32,0.41
ENPH,fastPeriod=13.0;slowPeriod=33.0,0.6475,0.5968,0.2174,46,2.42
EOG,fastPeriod=5.0;slowPeriod=26.0,0.4855,0.2758,0.1500,80,0.96
EPAM,fastPeriod=18.0;slowPeriod=20.0,0.6573,0.2711,0.2619,126,1.75
EQIX,fastPeriod=5.0;slowPeriod=30.0,0.2542,0.2297,0.1667,72,0.34
EQR,fastPeriod=9.0;slowPeriod=43.0,0.2473,0.2419,0.2128,47,0.31
EQT,fastPeriod=14.0;slowPeriod=20.0,0.4932,0.3839,0.3021,96,1.17
ERIE,fastPeriod=20.0;slowPeriod=31.0,1.0899,0.3060,0.2326,43,2.69
ESS,fastPeriod=20.0;slowPeriod=49.0,0.4355,0.1940,0.2593,27,0.55
ES,fastPeriod=6.0;slowPeriod=20.0,0.0641,0.2723,0.2179,78,0.12
ETN,fastPeriod=10.0;slowPeriod=48.0,1.1461,0.1240,0.4231,26,2.19
ETR,fastPeriod=5.0;slowPeriod=20.0,0.4203,0.1592,0.2500,84,0.57
EVRG,fastPeriod=17.0;slowPeriod=46.0,0.0584,0.2384,0.2000,35,0.13
EW,fastPeriod=5.0;slowPeriod=35.0,0.0846,0.2829,0.1912,68,0.13
EXC,fastPeriod=7.0;slowPeriod=24.0,0.0648,0.3381,0.2055,73,0.12
EXPD,fastPeriod=15.0;slowPeriod=23.0,0.5324,0.1905,0.2338,77,0.79
EXPE,fastPeriod=19.0;slowPeriod=36.0,0.7163,0.2656,0.2653,49,2.06
EXR,fastPeriod=5.0;slowPeriod=24.0,0.7626,0.2217,0.2059,68,1.40
FANG,fastPeriod=7.0;slowPeriod=23.0,0.8130,0.2799,0.2424,66,2.54
FAST,fastPeriod=20.0;slowPeriod=22.0,0.7140,0.1530,0.3150,127,1.05
FCX,fastPeriod=7.0;slowPeriod=20.0,0.6995,0.3231,0.2500,80,2.18
FDS,fastPeriod=18.0;slowPeriod=23.0,0.7191,0.2218,0.3523,88,1.16
FDX,fastPeriod=17.0;slowPeriod=24.0,1.0468,0.1898,0.3043,69,2.92
FE,fastPeriod=6.0;slowPeriod=48.0,0.1304,0.2098,0.1429,42,0.19
FFIV,fastPeriod=16.0;slowPeriod=22.0,1.0379,0.1420,0.2805,82,2.24
FICO,fastPeriod=16.0;slowPeriod=44.0,0.8776,0.2443,0.3421,38,2.52
FIS,fastPeriod=20.0;slowPeriod=21.0,-0.1040,0.3333,0.2407,162,-0.06
FITB,fastPeriod=19.0;slowPeriod=31.0,0.7035,0.2600,0.2800,50,1.57
FI,fastPeriod=20.0;slowPeriod=34.0,0.7102,0.1353,0.2222,45,1.09
FMC,fastPeriod=20.0;slowPeriod=47.0,-0.1345,0.3691,0.2500,24,-0.09
FOXA,fastPeriod=18.0;slowPeriod=36.0,0.8687,0.2102,0.2439,41,1.77
FOX,fastPeriod=18.0;slowPeriod=32.0,0.8737,0.1920,0.2439,41,1.63
FRT,fastPeriod=18.0;slowPeriod=21.0,0.3180,0.2975,0.2344,128,0.45
FSLR,fastPeriod=20.0;slowPeriod=27.0,0.6937,0.4417,0.2647,68,2.28
FTNT,fastPeriod=18.0;slowPeriod=47.0,0.8512,0.4288,0.2759,29,2.38
FTV,fastPeriod=20.0;slowPeriod=21.0,0.4164,0.2455,0.2588,170,0.56
F,fastPeriod=16.0;slowPeriod=22.0,0.7579,0.3829,0.2921,89,2.23
GDDY,fastPeriod=7.0;slowPeriod=21.0,0.3582,0.2842,0.2436,78,0.55
GD,fastPeriod=18.0;slowPeriod=22.0,0.8430,0.2072,0.2843,102,1.13
GEHC,fastPeriod=15.0;slowPeriod=31.0,0.3310,0.1865,0.2667,30,0.27
GEN,fastPeriod=16.0;slowPeriod=22.0,0.4520,0.2290,0.2976,84,0.73
GEV,fastPeriod=14.0;slowPeriod=38.0,1.4452,0.2461,0.3000,10,0.99
GE,fastPeriod=19.0;slowPeriod=42.0,0.8956,0.2457,0.2222,27,2.21
GILD,fastPeriod=6.0;slowPeriod=50.0,0.5793,0.2234,0.2222,45,0.78
GIS,fastPeriod=10.0;slowPeriod=37.0,0.3609,0.1325,0.2564,39,0.40
GLW,fastPeriod=17.0;slowPeriod=22.0,0.5623,0.2532,0.2391,92,0.97
GL,fastPeriod=16.0;slowPeriod=34.0,0.6079,0.1934,0.2549,51,0.88
GM,fastPeriod=9.0;slowPeriod=49.0,0.6825,0.3768,0.2333,30,1.54
GNRC,fastPeriod=13.0;slowPeriod=20.0,0.6663,0.4600,0.3026,76,2.04
GOOGL,fastPeriod=20.0;slowPeriod=49.0,0.5697,0.2249,0.2857,28,0.93
